ymdh,rf
2017021711,0
2017021712,0
2017021713,0
2017021714,0
2017021715,0
2017021716,0
2017021717,0
2017021718,0
2017021719,0
2017021720,0
2017021721,0
2017021722,0
2017021723,0
2017021724,0
2017021801,0
2017021802,0
2017021803,0
2017021804,0
2017021805,0
2017021806,0
2017021807,0
2017021808,0
2017021809,0
2017021810,0
2017021811,0
2017021812,0
2017021813,0
2017021814,0
2017021815,0
2017021816,0
2017021817,0
2017021818,0
2017021819,0
2017021820,0
2017021821,0
2017021822,0
2017021823,0
2017021824,0
2017021901,0
2017021902,0
2017021903,0
2017021904,0
2017021905,0
2017021906,0
2017021907,0
2017021908,0
2017021909,0
2017021910,0
2017021911,0
2017021912,0
2017021913,0
2017021914,0
2017021915,0
2017021916,0
2017021917,0
2017021918,0
2017021919,0
2017021920,0
2017021921,0
2017021922,0
2017021923,0
2017021924,0
2017022001,0
2017022002,0
2017022003,0
2017022004,0
2017022005,0
2017022006,0
2017022007,0
2017022008,1
2017022009,1
2017022010,0
2017022011,0
2017022012,0
2017022013,0
2017022014,0
2017022015,0
2017022016,0
2017022017,0
2017022018,0
2017022019,0
2017022020,0
2017022021,0
2017022022,0
2017022023,0
2017022024,0
2017022101,0
2017022102,0
2017022103,0
2017022104,0
2017022105,0
2017022106,0
2017022107,0
2017022108,0
2017022109,0
2017022110,0
2017022111,0
2017022112,0
2017022113,0
2017022114,0
2017022115,0
2017022116,0
2017022117,0
2017022118,0
2017022119,0
2017022120,0
2017022121,0
2017022122,0
2017022123,0
2017022124,0
2017022201,0
2017022202,0
2017022203,0
2017022204,0
2017022205,0
2017022206,0
2017022207,0
2017022208,0
2017022209,0
2017022210,0
2017022211,1
2017022212,0
2017022213,1
2017022214,1
2017022215,1
2017022216,3
2017022217,2
2017022218,1
2017022219,1
2017022220,3
2017022221,2
2017022222,2
2017022223,1
2017022224,0
2017022301,0
2017022302,0
2017022303,0
2017022304,0
2017022305,0
2017022306,0
2017022307,0
2017022308,0
2017022309,0
2017022310,0
2017022311,0
2017022312,0
2017022313,0
2017022314,0
2017022315,0
2017022316,0
2017022317,0
2017022318,0
2017022319,0
2017022320,0
2017022321,0
2017022322,0
2017022323,0
2017022324,0
2017022401,0
2017022402,0
2017022403,0
2017022404,0
2017022405,0
2017022406,0
2017022407,0
2017022408,0
2017022409,0
2017022410,0
2017022411,0
2017022412,0
2017022413,0
2017022414,0
2017022415,0
2017022416,0
2017022417,0
2017022418,0
2017022419,0
2017022420,0
2017022421,0
2017022422,0
2017022423,0
2017022424,0
2017022501,0
2017022502,0
2017022503,0
2017022504,0
2017022505,0
2017022506,0
2017022507,0
2017022508,0
2017022509,0
2017022510,0
2017022511,0
2017022512,0
2017022513,0
2017022514,0
2017022515,0
2017022516,0
2017022517,0
2017022518,0
2017022519,0
2017022520,0
2017022521,0
2017022522,0
2017022523,0
2017022524,0
2017022601,0
2017022602,0
2017022603,0
2017022604,0
2017022605,0
2017022606,0
2017022607,0
2017022608,0
2017022609,0
2017022610,0
2017022611,0
2017022612,0
2017022613,0
2017022614,0
2017022615,0
2017022616,0
2017022617,0
2017022618,0
2017022619,0
2017022620,0
2017022621,0
2017022622,0
2017022623,0
2017022624,0
2017022701,0
2017022702,0
2017022703,0
2017022704,0
2017022705,0
2017022706,0
2017022707,0
2017022708,0
2017022709,0
2017022710,0
2017022711,0
2017022712,0
2017022713,0
2017022714,0
2017022715,0
2017022716,0
2017022717,0
2017022718,0
2017022719,0
2017022720,0
2017022721,0
2017022722,0
2017022723,0
2017022724,0
2017022801,0
2017022802,0
2017022803,0
2017022804,0
2017022805,0
2017022806,0
2017022807,0
2017022808,0
2017022809,0
2017022810,0
2017022811,0
2017022812,0
2017022813,0
2017022814,0
2017022815,0
2017022816,0
2017022817,0
2017022818,0
2017022819,0
2017022820,0
2017022821,0
2017022822,0
2017022823,0
2017022824,0
2017030101,0
2017030102,0
2017030103,0
2017030104,0
2017030105,0
2017030106,0
2017030107,0
2017030108,0
2017030109,0
2017030110,0
2017030111,0
2017030112,0
2017030113,0
2017030114,0
2017030115,0
2017030116,0
2017030117,0
2017030118,0
2017030119,0
2017030120,0
2017030121,0
2017030122,1
2017030123,1
2017030124,0
2017030201,0
2017030202,0
2017030203,0
2017030204,0
2017030205,1
2017030206,0
2017030207,0
2017030208,0
2017030209,0
2017030210,0
2017030211,0
2017030212,0
2017030213,0
2017030214,0
2017030215,0
2017030216,0
2017030217,0
2017030218,0
2017030219,0
2017030220,0
2017030221,0
2017030222,0
2017030223,0
2017030224,0
2017030301,0
2017030302,0
2017030303,0
2017030304,0
2017030305,0
2017030306,0
2017030307,0
2017030308,0
2017030309,0
2017030310,0
2017030311,0
2017030312,0
2017030313,0
2017030314,0
2017030315,0
2017030316,0
2017030317,0
2017030318,0
2017030319,0
2017030320,0
2017030321,0
2017030322,0
2017030323,0
2017030324,0
2017030401,0
2017030402,0
2017030403,0
2017030404,0
2017030405,0
2017030406,0
2017030407,0
2017030408,0
2017030409,0
2017030410,0
2017030411,0
2017030412,0
2017030413,0
2017030414,0
2017030415,0
2017030416,0
2017030417,0
2017030418,0
2017030419,0
2017030420,0
2017030421,0
2017030422,0
2017030423,0
2017030424,0
2017030501,0
2017030502,0
2017030503,0
2017030504,0
2017030505,0
2017030506,0
2017030507,0
2017030508,0
2017030509,0
2017030510,0
2017030511,0
2017030512,0
2017030513,0
2017030514,0
2017030515,0
2017030516,0
2017030517,0
2017030518,0
2017030519,0
2017030520,0
2017030521,0
2017030522,0
2017030523,0
2017030524,0
2017030601,0
2017030602,0
2017030603,0
2017030604,0
2017030605,0
2017030606,0
2017030607,0
2017030608,0
2017030609,0
2017030610,0
2017030611,0
2017030612,0
2017030613,0
2017030614,0
2017030615,0
2017030616,0
2017030617,0
2017030618,0
2017030619,0
2017030620,0
2017030621,0
2017030622,0
2017030623,0
2017030624,0
2017030701,0
2017030702,0
2017030703,0
2017030704,0
2017030705,0
2017030706,0
2017030707,0
2017030708,0
2017030709,0
2017030710,0
2017030711,0
2017030712,0
2017030713,0
2017030714,0
2017030715,0
2017030716,0
2017030717,0
2017030718,0
2017030719,0
2017030720,0
2017030721,0
2017030722,0
2017030723,0
2017030724,0
2017030801,0
2017030802,0
2017030803,0
2017030804,0
2017030805,0
2017030806,0
2017030807,0
2017030808,0
2017030809,0
2017030810,0
2017030811,0
2017030812,0
2017030813,0
2017030814,0
2017030815,0
2017030816,0
2017030817,0
2017030818,0
2017030819,0
2017030820,0
2017030821,0
2017030822,0
2017030823,0
2017030824,0
2017030901,0
2017030902,0
2017030903,0
2017030904,0
2017030905,0
2017030906,0
2017030907,0
2017030908,0
2017030909,0
2017030910,0
2017030911,0
2017030912,0
2017030913,0
2017030914,0
2017030915,0
2017030916,0
2017030917,0
2017030918,0
2017030919,0
2017030920,0
2017030921,0
2017030922,0
2017030923,0
2017030924,0
2017031001,0
2017031002,0
2017031003,0
2017031004,0
2017031005,0
2017031006,0
2017031007,0
2017031008,0
2017031009,0
2017031010,0
2017031011,0
2017031012,0
2017031013,0
2017031014,0
2017031015,0
2017031016,0
2017031017,0
2017031018,0
2017031019,0
2017031020,0
2017031021,0
2017031022,0
2017031023,0
2017031024,0
2017031101,0
2017031102,0
2017031103,0
2017031104,0
2017031105,0
2017031106,0
2017031107,0
2017031108,0
2017031109,0
2017031110,0
2017031111,0
2017031112,0
2017031113,0
2017031114,0
2017031115,0
2017031116,0
2017031117,0
2017031118,0
2017031119,0
2017031120,0
2017031121,0
2017031122,0
2017031123,0
2017031124,0
2017031201,0
2017031202,0
2017031203,0
2017031204,0
2017031205,0
2017031206,0
2017031207,0
2017031208,0
2017031209,0
2017031210,0
2017031211,0
2017031212,0
2017031213,0
2017031214,0
2017031215,0
2017031216,0
2017031217,0
2017031218,0
2017031219,0
2017031220,0
2017031221,0
2017031222,0
2017031223,0
2017031224,0
2017031301,0
2017031302,0
2017031303,0
2017031304,0
2017031305,0
2017031306,0
2017031307,0
2017031308,0
2017031309,0
2017031310,0
2017031311,0
2017031312,0
2017031313,0
2017031314,0
2017031315,0
2017031316,0
2017031317,0
2017031318,0
2017031319,0
2017031320,0
2017031321,0
